ticker,shares
AAPL,190.0
ABBV,4.0
ABT,69.0
ACAD,4.0
ADBE,20.0
ADI,34.0
ADSK,0.0
ALAB,15.0
AME,14.0
AMZN,167.0
ANF,91.0
APD,38.0
APO,35.0
APPF,23.0
ARDX,151.0
ARES,58.0
AS,16.0
AVGO,49.0
BA,1.0
BAC,65.0
BBW,19.0
BIRK,37.0
BKNG,1.0
BLK,0.0
BRK.B,40.0
BSX,13.0
BWIN,233.0
BX,81.0
C,19.0
CALM,75.0
CBRE,4.0
CDNS,17.0
CHRW,6.0
CLX,4.0
CNXC,38.0
COF,4.0
COMP,396.0
COP,12.0
COST,8.0
CPNG,85.0
CPRT,2.0
CRCT,450.0
CSGP,97.0
CTVA,43.0
CVGW,37.0
CVX,3.0
CXW,218.0
DIS,13.0
DKNG,190.0
DOCU,23.0
DOMO,99.0
DPZ,3.0
EFX,29.0
EMR,5.0
EOG,14.0
ETN,17.0
EVER,151.0
EXEL,96.0
FCX,14.0
FFIV,1.0
FIZZ,2.0
FLUT,17.0
FLXS,30.0
GDDY,17.0
GE,22.0
GEO,200.0
GLSI,251.0
GME,43.0
GOOG,158.0
GOOGL,159.0
GPK,22.0
GRND,45.0
GS,26.0
GSHD,26.0
GT,13.0
HALO,71.0
HLNE,48.0
HLT,6.0
HON,28.0
HRMY,129.0
HRTG,205.0
HSY,3.0
HTZ,489.0
ICE,55.0
IDT,254.0
INFA,24.0
INTU,8.0
JBL,4.0
JEF,29.0
JPM,31.0
KBR,22.0
KEYS,29.0
KKR,78.0
KLAC,6.0
KMB,18.0
KMX,42.0
KVUE,589.0
LFVN,196.0
LIN,15.0
LLY,1.0
LMT,1.0
LNG,0.0
LNW,30.0
LRCX,3.0
MA,24.0
MCD,2.0
META,40.0
MGNI,105.0
MKTX,7.0
MOS,164.0
MS,37.0
MSFT,117.0
MSI,19.0
MTCH,111.0
NAGE,213.0
NFLX,5.0
NKE,30.0
NOW,1.0
NTAP,15.0
NTNX,52.0
NVDA,323.0
NWSA,37.0
OC,5.0
ODC,41.0
OKE,14.0
OLLI,31.0
ORCL,27.0
OXY,124.0
PCRX,231.0
PDEX,157.0
PEG,62.0
PENG,41.0
PGNY,113.0
PGR,23.0
PH,9.0
PM,54.0
PPC,232.0
QCOM,54.0
QTWO,66.0
QUBT,62.0
RCMT,17.0
RDDT,0.0
RIGL,9.0
RKT,35.0
RMD,7.0
ROOT,7.0
SFD,354.0
SFM,49.0
SILA,42.0
SLB,29.0
SM,24.0
SN,41.0
SOC,604.0
SOLV,1.0
SPG,24.0
SPGI,8.0
SPOT,0.0
SYK,7.0
T,157.0
TGLS,1.0
TIPT,255.0
TNXP,30.0
TPB,35.0
TREE,23.0
TRGP,55.0
TSCO,45.0
TSLA,14.0
TVRD,7635.0
TXN,21.0
UBER,38.0
UNH,0.0
UPWK,138.0
USNA,4.0
V,19.0
VITL,133.0
VRSN,6.0
VST,15.0
WINA,0.0
WRBY,64.0
XP,70.0
YOU,115.0
Z,10.0
ZG,13.0
