ticker,orderId,status,action,quantity,limit_price,filled,remaining,error
AAPL,30,PreSubmitted,BUY,180.0,252.3,0.0,180.0,
ABBV,31,PreSubmitted,BUY,5.0,229.58,0.0,5.0,
ABT,32,PreSubmitted,BUY,34.0,128.55,0.0,34.0,
ACAD,33,PreSubmitted,BUY,56.0,20.9,0.0,56.0,
ADBE,34,PreSubmitted,BUY,27.0,333.27,0.0,27.0,
ADI,35,PreSubmitted,BUY,38.0,242.88,0.0,38.0,
ALAB,36,PreSubmitted,BUY,14.0,159.81,0.0,14.0,
ALK,37,PreSubmitted,BUY,21.0,47.32,0.0,21.0,
AME,38,PreSubmitted,BUY,17.0,185.48,0.0,17.0,
AMZN,39,PreSubmitted,BUY,172.0,213.05,0.0,172.0,
ANF,40,PreSubmitted,BUY,45.0,68.49,0.0,45.0,
APD,41,PreSubmitted,BUY,29.0,253.21,0.0,29.0,
APO,42,PreSubmitted,BUY,9.0,121.39,0.0,9.0,
APPF,43,PreSubmitted,BUY,21.0,235.52,0.0,21.0,
ARDX,44,PreSubmitted,BUY,145.0,5.04,0.0,145.0,
ARES,45,PreSubmitted,BUY,68.0,141.88,0.0,68.0,
AVGO,46,PreSubmitted,BUY,43.0,349.34,0.0,43.0,
AZZ,47,PreSubmitted,BUY,11.0,97.76,0.0,11.0,
BBW,48,PreSubmitted,BUY,14.0,55.72,0.0,14.0,
BKNG,49,PreSubmitted,BUY,2.0,5070.03,0.0,2.0,
BRK.B,50,Cancelled,BUY,31.0,492.43,0.0,0.0,
BWIN,51,PreSubmitted,BUY,288.0,23.14,0.0,288.0,
BX,52,PreSubmitted,BUY,79.0,156.32,0.0,79.0,
C,53,PreSubmitted,BUY,19.0,97.08,0.0,19.0,
CALM,54,PreSubmitted,BUY,60.0,94.57,0.0,60.0,
CART,55,PreSubmitted,BUY,85.0,38.5,0.0,85.0,
CBRE,56,PreSubmitted,BUY,5.0,157.13,0.0,5.0,
CDW,57,PreSubmitted,BUY,19.0,152.46,0.0,19.0,
CENT,58,PreSubmitted,BUY,5.0,30.56,0.0,5.0,
CHEF,59,PreSubmitted,BUY,39.0,58.16,0.0,39.0,
CHRW,60,PreSubmitted,BUY,3.0,127.4,0.0,3.0,
CLX,61,PreSubmitted,BUY,5.0,119.73,0.0,5.0,
CNXC,62,PreSubmitted,BUY,36.0,44.86,0.0,36.0,
COF,63,PreSubmitted,BUY,3.0,211.35,0.0,3.0,
COMP,64,PreSubmitted,BUY,614.0,7.3,0.0,614.0,
COST,65,PreSubmitted,BUY,5.0,936.34,0.0,5.0,
CPNG,66,PreSubmitted,BUY,134.0,31.22,0.0,134.0,
CPRT,67,PreSubmitted,BUY,8.0,44.35,0.0,8.0,
CRVL,68,PreSubmitted,BUY,26.0,71.49,0.0,26.0,
CSGP,69,PreSubmitted,BUY,123.0,74.0,0.0,123.0,
CTVA,70,PreSubmitted,BUY,37.0,61.41,0.0,37.0,
CVX,71,PreSubmitted,BUY,5.0,153.09,0.0,5.0,
CXW,72,PreSubmitted,BUY,203.0,17.97,0.0,203.0,
DECK,73,PreSubmitted,BUY,4.0,99.83,0.0,4.0,
DIS,74,PreSubmitted,BUY,34.0,110.68,0.0,34.0,
DKNG,75,PreSubmitted,BUY,96.0,34.11,0.0,96.0,
DOCU,76,PreSubmitted,BUY,61.0,67.94,0.0,61.0,
DOMO,77,PreSubmitted,BUY,230.0,12.3,0.0,230.0,
DRI,78,PreSubmitted,BUY,26.0,188.2,0.0,26.0,
DXCM,79,PreSubmitted,BUY,54.0,66.61,0.0,54.0,
EAT,80,PreSubmitted,BUY,5.0,127.86,0.0,5.0,
EFX,81,PreSubmitted,BUY,27.0,226.92,0.0,27.0,
EIX,82,PreSubmitted,BUY,8.0,56.67,0.0,8.0,
EMR,83,PreSubmitted,BUY,4.0,129.29,0.0,4.0,
ENR,84,PreSubmitted,BUY,3.0,24.9,0.0,3.0,
ETN,85,PreSubmitted,BUY,5.0,373.31,0.0,5.0,
EVER,86,PreSubmitted,BUY,14.0,19.46,0.0,14.0,
EW,87,PreSubmitted,BUY,6.0,74.65,0.0,6.0,
FCX,88,PreSubmitted,BUY,2.0,41.19,0.0,2.0,
FDS,89,PreSubmitted,BUY,7.0,286.68,0.0,7.0,
FLUT,90,PreSubmitted,BUY,1.0,251.87,0.0,1.0,
GDDY,91,PreSubmitted,BUY,10.0,128.75,0.0,10.0,
GE,92,PreSubmitted,BUY,19.0,300.15,0.0,19.0,
GEHC,93,PreSubmitted,BUY,8.0,74.06,0.0,8.0,
GEO,94,PreSubmitted,BUY,209.0,17.03,0.0,209.0,
GME,95,PreSubmitted,BUY,11.0,23.08,0.0,11.0,
GOOG,96,PreSubmitted,BUY,135.0,253.8,0.0,135.0,
GOOGL,97,PreSubmitted,BUY,136.0,253.31,0.0,136.0,
GS,98,PreSubmitted,BUY,27.0,750.78,0.0,27.0,
GSHD,99,PreSubmitted,BUY,53.0,67.03,0.0,53.0,
GT,100,PendingSubmit,BUY,173.0,6.87,0.0,0.0,
HALO,101,PendingSubmit,BUY,58.0,67.04,0.0,0.0,
HE,102,PendingSubmit,BUY,227.0,11.29,0.0,0.0,
HLNE,103,PreSubmitted,BUY,19.0,118.05,0.0,19.0,
HON,104,PreSubmitted,BUY,29.0,202.97,0.0,29.0,
HQY,105,PreSubmitted,BUY,4.0,91.47,0.0,4.0,
HRMY,106,PreSubmitted,BUY,98.0,25.91,0.0,98.0,
HUM,107,PreSubmitted,BUY,2.0,275.02,0.0,2.0,
ICE,108,PreSubmitted,BUY,63.0,153.61,0.0,63.0,
IDT,109,PreSubmitted,BUY,293.0,47.77,0.0,293.0,
INTU,110,PreSubmitted,BUY,2.0,661.4,0.0,2.0,
JPM,111,PreSubmitted,BUY,20.0,297.57,0.0,20.0,
KBR,112,PreSubmitted,BUY,8.0,43.39,0.0,8.0,
KEYS,113,PreSubmitted,BUY,10.0,162.2,0.0,10.0,
KKR,114,PreSubmitted,BUY,82.0,117.61,0.0,82.0,
KLAC,115,PreSubmitted,BUY,7.0,1106.67,0.0,7.0,
KMX,116,PreSubmitted,BUY,55.0,42.91,0.0,55.0,
KNTK,117,PreSubmitted,BUY,35.0,35.82,0.0,35.0,
KVUE,118,PreSubmitted,BUY,323.0,15.3,0.0,323.0,
LFVN,119,PreSubmitted,BUY,31.0,8.82,0.0,31.0,
LIN,120,PreSubmitted,BUY,13.0,450.9,0.0,13.0,
LLY,121,PreSubmitted,BUY,1.0,802.84,0.0,1.0,
LNG,122,PreSubmitted,BUY,10.0,218.97,0.0,10.0,
LNW,123,PreSubmitted,BUY,8.0,76.15,0.0,8.0,
LQDT,124,PendingSubmit,BUY,35.0,23.22,0.0,0.0,
LWAY,125,PreSubmitted,BUY,288.0,27.3,0.0,288.0,
MA,126,PreSubmitted,BUY,27.0,560.98,0.0,27.0,
